establishment_status,inspection_date,severity,inspection_year
Pass,2023-11-29,,2023
Pass,2023-09-18,,2023
Pass,2022-08-09,M - Minor,2022
Pass,2022-06-21,S - Significant,2022
Pass,2022-06-21,M - Minor,2022
Pass,2023-01-25,M - Minor,2023
Pass,2023-08-11,S - Significant,2023
Pass,2023-08-11,M - Minor,2023
Pass,2023-08-11,M - Minor,2023
Pass,2023-10-25,M - Minor,2023
Pass,2023-10-25,M - Minor,2023
Pass,2022-10-25,C - Crucial,2022
Pass,2022-10-25,C - Crucial,2022
Pass,2022-10-27,,2022
Pass,2023-03-07,M - Minor,2023
Pass,2023-06-07,S - Significant,2023
Pass,2023-06-07,C - Crucial,2023
Pass,2023-06-07,C - Crucial,2023
Pass,2023-06-27,,2023
Pass,2022-08-19,C - Crucial,2022
Pass,2022-08-19,M - Minor,2022
Pass,2022-08-19,C - Crucial,2022
Pass,2022-08-19,M - Minor,2022
Pass,2022-08-19,S - Significant,2022
Pass,2022-08-23,,2022
Pass,2023-03-20,S - Significant,2023
Pass,2023-03-20,M - Minor,2023
Pass,2023-03-20,M - Minor,2023
Pass,2023-03-20,S - Significant,2023
Pass,2023-03-22,,2023
Pass,2023-07-24,S - Significant,2023
Pass,2023-07-24,M - Minor,2023
Pass,2023-07-24,M - Minor,2023
Pass,2023-12-11,S - Significant,2023
Pass,2023-12-11,M - Minor,2023
Pass,2023-04-27,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2023-09-26,,2023
Pass,2022-06-21,,2022
Pass,2023-06-22,,2023
Pass,2023-11-08,M - Minor,2023
Pass,2023-11-08,M - Minor,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-07-20,,2023
Pass,2023-03-23,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,M - Minor,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-06-17,,2022
Pass,2023-04-26,M - Minor,2023
Pass,2023-07-20,,2023
Pass,2022-06-16,,2022
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2023-04-26,,2023
Pass,2023-07-20,,2023
Pass,2022-10-31,,2022
Pass,2023-07-21,,2023
Pass,2023-10-26,,2023
Pass,2022-01-25,S - Significant,2022
Pass,2022-02-02,M - Minor,2022
Pass,2023-02-14,S - Significant,2023
Pass,2023-02-14,S - Significant,2023
Pass,2023-02-14,C - Crucial,2023
Pass,2023-08-17,M - Minor,2023
Pass,2023-08-25,S - Significant,2023
Pass,2023-08-25,C - Crucial,2023
Pass,2023-08-31,M - Minor,2023
Pass,2023-10-05,S - Significant,2023
Pass,2023-10-05,S - Significant,2023
Pass,2023-10-18,,2023
Pass,2024-01-22,S - Significant,2024
Pass,2024-01-22,M - Minor,2024
Pass,2024-01-22,M - Minor,2024
Pass,2023-12-01,M - Minor,2023
Pass,2023-12-01,M - Minor,2023
Pass,2022-03-28,,2022
Pass,2023-01-31,M - Minor,2023
Pass,2023-01-31,NA - Not Applicable,2023
Pass,2023-01-31,M - Minor,2023
Pass,2023-01-31,S - Significant,2023
Pass,2023-01-31,M - Minor,2023
Pass,2023-01-27,M - Minor,2023
Pass,2023-01-27,M - Minor,2023
Pass,2022-10-26,S - Significant,2022
Pass,2022-10-26,M - Minor,2022
Pass,2022-10-26,M - Minor,2022
Pass,2022-10-26,M - Minor,2022
Pass,2022-10-26,S - Significant,2022
Pass,2023-04-26,M - Minor,2023
Pass,2023-04-26,S - Significant,2023
Pass,2023-04-26,M - Minor,2023
Pass,2023-04-26,S - Significant,2023
Pass,2023-04-26,M - Minor,2023
Pass,2023-11-16,M - Minor,2023
Pass,2023-11-16,S - Significant,2023
Pass,2023-11-16,S - Significant,2023
Pass,2023-11-16,M - Minor,2023
Pass,2023-11-16,M - Minor,2023
Pass,2023-06-12,,2023
Pass,2022-11-01,S - Significant,2022
Pass,2023-03-27,S - Significant,2023
Pass,2023-03-27,M - Minor,2023
Pass,2023-03-27,M - Minor,2023
Pass,2023-12-19,S - Significant,2023
Pass,2023-12-19,M - Minor,2023
Pass,2022-06-20,S - Significant,2022
Pass,2022-06-20,M - Minor,2022
Pass,2022-06-20,M - Minor,2022
Pass,2023-01-20,,2023
Pass,2023-06-30,M - Minor,2023
Pass,2023-06-30,C - Crucial,2023
Pass,2023-06-30,S - Significant,2023
Pass,2023-07-05,,2023
Pass,NA,,NA
Pass,2022-08-16,,2022
Pass,2022-09-26,M - Minor,2022
Pass,2022-01-31,,2022
Pass,2023-06-20,M - Minor,2023
Pass,2023-06-20,NA - Not Applicable,2023
Pass,2023-06-20,M - Minor,2023
Pass,2022-05-13,S - Significant,2022
Pass,2023-01-12,,2023
Pass,2022-11-16,,2022
Pass,2023-06-19,S - Significant,2023
Pass,2023-06-19,S - Significant,2023
Pass,2023-06-19,M - Minor,2023
Pass,2023-06-19,M - Minor,2023
Pass,2023-11-20,,2023
Pass,2022-06-27,S - Significant,2022
Pass,2023-01-09,M - Minor,2023
Pass,2023-10-19,M - Minor,2023
Pass,2024-01-17,,2024
Pass,2022-08-09,M - Minor,2022
Pass,2023-05-08,S - Significant,2023
Pass,2023-05-08,M - Minor,2023
