establishment_status,inspection_date,severity
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-07-20,
Pass,2023-03-23,
Pass,2022-06-16,
Pass,2023-04-26,M - Minor
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-06-17,
Pass,2023-04-26,M - Minor
Pass,2023-07-20,
Pass,2022-06-16,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2023-04-26,
Pass,2023-07-20,
Pass,2022-10-31,
Pass,2023-07-21,
Pass,2023-10-26,
Pass,2022-01-25,S - Significant
Pass,2022-02-02,M - Minor
Pass,2023-02-14,S - Significant
Pass,2023-02-14,S - Significant
Pass,2023-02-14,C - Crucial
Pass,2023-08-17,M - Minor
Pass,2023-08-25,S - Significant
Pass,2023-08-25,C - Crucial
Pass,2023-08-31,M - Minor
Pass,2023-10-05,S - Significant
Pass,2023-10-05,S - Significant
Pass,2023-10-18,
Pass,2024-01-22,S - Significant
Pass,2024-01-22,M - Minor
Pass,2024-01-22,M - Minor
Pass,2023-12-01,M - Minor
Pass,2023-12-01,M - Minor
Pass,2022-03-28,
Pass,2023-01-31,M - Minor
Pass,2023-01-31,M - Minor
Pass,2023-01-31,S - Significant
Pass,2023-01-31,M - Minor
Pass,2023-01-31,NA - Not Applicable
Pass,2023-01-27,M - Minor
Pass,2023-01-27,M - Minor
Pass,2022-10-26,M - Minor
Pass,2022-10-26,M - Minor
Pass,2022-10-26,S - Significant
Pass,2022-10-26,M - Minor
Pass,2022-10-26,S - Significant
Pass,2023-04-26,S - Significant
Pass,2023-04-26,M - Minor
Pass,2023-04-26,M - Minor
Pass,2023-04-26,S - Significant
Pass,2023-04-26,M - Minor
Pass,2023-11-16,S - Significant
Pass,2023-11-16,M - Minor
Pass,2023-11-16,S - Significant
Pass,2023-11-16,M - Minor
Pass,2023-11-16,M - Minor
Pass,2023-06-12,
Pass,2023-12-19,M - Minor
Pass,2023-12-19,S - Significant
Pass,2022-11-01,S - Significant
Pass,2023-03-27,M - Minor
Pass,2023-03-27,S - Significant
Pass,2023-03-27,M - Minor
Pass,2022-06-20,M - Minor
Pass,2022-06-20,S - Significant
Pass,2022-06-20,M - Minor
Pass,2023-01-20,
Pass,2023-06-30,C - Crucial
Pass,2023-06-30,S - Significant
Pass,2023-06-30,M - Minor
Pass,2023-07-05,
Pass,NA,
Pass,2022-08-16,
Pass,2022-09-26,M - Minor
Pass,2022-01-31,
Pass,2023-06-20,NA - Not Applicable
Pass,2023-06-20,M - Minor
Pass,2023-06-20,M - Minor
Pass,2022-05-13,S - Significant
Pass,2023-01-12,
Pass,2022-11-16,
Pass,2023-06-19,M - Minor
Pass,2023-06-19,S - Significant
Pass,2023-06-19,M - Minor
Pass,2023-06-19,S - Significant
Pass,2023-11-20,
Pass,2022-06-27,S - Significant
Pass,2023-01-09,M - Minor
Pass,2023-10-19,M - Minor
Pass,2024-01-17,
Pass,2022-08-09,M - Minor
Pass,2023-05-08,M - Minor
Pass,2023-05-08,S - Significant
Pass,2023-05-08,S - Significant
Pass,2023-10-25,
Pass,2024-01-02,
Pass,2022-05-13,
Pass,2023-01-16,
Pass,2023-08-25,
Pass,2022-05-16,M - Minor
Pass,2022-05-16,M - Minor
Pass,2023-03-02,
Pass,2023-07-27,
Pass,2022-01-24,
Pass,2022-09-23,
Pass,2023-04-05,M - Minor
Pass,2023-12-04,
Pass,2022-03-15,
Pass,2023-01-10,
Pass,2023-07-31,
Pass,2024-01-02,
Pass,2022-06-09,M - Minor
Pass,2023-02-28,M - Minor
Pass,2023-02-28,M - Minor
Pass,2023-07-20,
Pass,2022-05-18,M - Minor
Pass,2023-03-21,M - Minor
Pass,2023-12-13,
Pass,2022-06-16,
Pass,2022-09-20,M - Minor
Pass,2022-09-20,M - Minor
Pass,2023-05-17,
Pass,2022-06-16,
Pass,2022-11-08,M - Minor
Pass,2023-04-27,
Pass,2023-09-28,
Pass,2022-06-07,
Pass,2023-03-28,
Pass,2023-07-18,
Pass,2022-03-02,
Pass,2023-02-08,
Pass,2023-07-12,
Pass,2022-07-12,
Pass,2023-04-24,
Pass,2023-11-17,
Pass,2022-04-27,
Pass,2023-02-23,
Pass,2023-07-06,M - Minor
Pass,2022-12-21,M - Minor
Pass,2023-03-17,
Pass,2023-07-10,
Pass,2022-04-07,
Pass,2023-03-15,M - Minor
Pass,2023-03-15,S - Significant
Pass,2023-08-28,
Pass,2022-07-08,M - Minor
Pass,2023-02-08,
Pass,2023-08-29,M - Minor
Pass,2023-08-29,S - Significant
Pass,2024-01-09,
Pass,2022-12-08,
Pass,2023-05-03,
Pass,2023-10-05,
Pass,2024-01-23,
Pass,2022-09-23,
Pass,2023-02-23,
Pass,2023-08-30,S - Significant
Pass,2023-08-30,S - Significant
Pass,2022-11-03,
Pass,2022-12-02,M - Minor
Pass,2022-12-02,M - Minor
Pass,2023-12-11,M - Minor
Pass,2023-12-11,M - Minor
Pass,2023-12-11,M - Minor
Pass,2022-11-22,
Pass,2023-06-13,
Pass,2022-06-13,
Pass,2023-02-06,
Pass,2023-07-20,M - Minor
Pass,2023-04-20,S - Significant
Pass,2023-04-20,M - Minor
Pass,2023-08-31,S - Significant
Pass,2023-08-31,M - Minor
Pass,2023-12-08,M - Minor
Pass,2022-08-22,
Pass,2023-03-28,
Pass,2023-09-13,
Pass,2022-05-09,
Pass,2023-04-17,
Pass,2023-08-17,
Pass,2022-03-23,M - Minor
Pass,2023-05-16,M - Minor
Pass,2023-08-30,S - Significant
Pass,2023-08-30,M - Minor
Pass,2023-08-30,M - Minor
Pass,2023-08-30,S - Significant
Pass,2023-09-05,
Pass,2022-09-02,
Pass,2023-04-27,
Pass,2023-11-22,
Pass,2022-02-25,M - Minor
Pass,2022-02-25,S - Significant
Pass,2022-02-25,S - Significant
Pass,2022-02-25,M - Minor
Pass,2022-03-07,
Pass,2023-05-11,
Pass,2023-12-12,
Pass,2023-11-02,
Pass,2022-08-02,S - Significant
Pass,2023-04-18,M - Minor
Pass,2023-08-14,M - Minor
Pass,2022-05-25,S - Significant
Pass,2022-05-25,M - Minor
Pass,2022-09-22,NA - Not Applicable
Pass,2022-09-22,M - Minor
Pass,2022-09-22,M - Minor
Pass,2023-03-02,M - Minor
Pass,2023-03-02,S - Significant
Pass,2023-08-21,M - Minor
Pass,2023-08-21,C - Crucial
Pass,2023-08-21,NA - Not Applicable
Pass,2023-08-21,S - Significant
Pass,2023-08-21,C - Crucial
Pass,2023-08-21,S - Significant
Pass,2023-08-21,S - Significant
Pass,2023-08-24,NA - Not Applicable
Pass,2022-03-09,
Pass,2023-03-14,
Pass,2023-05-19,
Pass,2023-10-10,
Pass,2022-09-23,
